Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0364673867159232,0.00994362054587777,-0.0189266459007073,0,0,0,16.0340472581944,0.136376116454582,2.91828801419719E-05,-0.000573728014806226,0.158239100476555,-0.000385906670910775,0.281184977319115,0,0,0,0,0,0,package://robot_agv/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_agv/meshes/base_link.STL,,车体-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_wheel_link,6.83850143717857E-05,-0.0180873255737881,-0.000237375082620429,0,0,0,0.470718555403678,0.00131413974953644,-7.35341936005318E-08,3.08855933295298E-06,0.00246793270900713,-1.86855660685598E-08,0.00130630989926239,0,0,0,0,0,0,package://robot_agv/meshes/l_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_agv/meshes/l_wheel_link.STL,,轮子-1,l_wheel_link,wheel_joint,l_wheel_joint,continuous,0,0.306078558607017,-0.112699999999999,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
r_wheel_link,-9.1854011582515E-05,0.0180871779217427,-0.000229201831995495,0,0,0,0.470720243182658,0.00131344405865144,-7.12726212459295E-08,-3.80817807805258E-06,0.00246793269921111,2.59651647807631E-08,0.00130700557976274,0,0,0,0,0,0,package://robot_agv/meshes/r_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_agv/meshes/r_wheel_link.STL,,轮子-2,r_wheel_link,wheel_joint,r_wheel_joint,continuous,0,-0.306078558607018,-0.112699999999999,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
lidar_link,-0.000441400133802117,3.7319416279491E-08,0.0200216268079959,0,0,0,0.171383863253783,8.19875205520358E-05,-9.40378839496888E-11,8.55254729862329E-07,8.10642312571806E-05,-1.43184344817468E-11,0.000113024980828819,0,0,0,0,0,0,package://robot_agv/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_agv/meshes/lidar_link.STL,,激光雷达-1,lidar_link,Axis_lidar_joint,lidar_joint,fixed,0.2561317,0,-0.0689999999999949,0,0,0,base_link,0,0,0,,,,,,,,,,,,
